Event_ID,Appeal_ID,Event_Timestamp,Process_Stage,Event_Type,Team_ID,User_Role,Delay_Reason,Event_Sequence
EVT-0000057,APL-2026-000007,2026-01-14 13:38:00,Classification,Type Assigned,TM-04,Intake Supervisor,,4
EVT-0000058,APL-2026-000007,2026-01-15 15:15:00,Routing,Routed to Team,TM-04,Intake Supervisor,,5
EVT-0000059,APL-2026-000007,2026-01-15 09:38:00,Review,Review Started,TM-04,Reviewer,,6
EVT-0000060,APL-2026-000007,2026-01-19 10:00:00,Decision,Decision: Upheld,TM-04,Reviewer,,7
EVT-0000061,APL-2026-000007,2026-01-21 16:07:00,Closure,Case Closed,TM-04,Reporting Analyst,,8
EVT-0000062,APL-2026-000008,2026-04-06 17:52:00,Intake,Appeal Received,TM-04,Intake Specialist,,1
EVT-0000063,APL-2026-000008,2026-04-07 17:15:00,Intake,Intake Logged,TM-04,Intake Specialist,,2
EVT-0000064,APL-2026-000008,2026-04-07 15:00:00,Validation,Validation Completed,TM-04,Intake Specialist,,3
EVT-0000065,APL-2026-000008,2026-04-07 08:07:00,Classification,Type Assigned,TM-04,Intake Supervisor,,4
EVT-0000066,APL-2026-000008,2026-04-07 10:52:00,Routing,Routed to Team,TM-04,Intake Supervisor,,5
EVT-0000067,APL-2026-000008,2026-04-08 10:45:00,Review,Review Started,TM-04,Reviewer,,6
EVT-0000068,APL-2026-000008,2026-04-16 17:30:00,Decision,Decision: Upheld,TM-04,Reviewer,,7
EVT-0000069,APL-2026-000008,2026-04-17 08:30:00,Closure,Case Closed,TM-04,Reporting Analyst,,8
EVT-0000070,APL-2026-000009,2026-02-02 11:22:00,Intake,Appeal Received,TM-04,Intake Specialist,,1
EVT-0000071,APL-2026-000009,2026-02-02 17:15:00,Intake,Intake Logged,TM-04,Intake Specialist,,2
EVT-0000072,APL-2026-000009,2026-02-02 10:07:00,Validation,Validation Failed,TM-04,Intake Specialist,RC-02,3
EVT-0000073,APL-2026-000009,2026-02-02 12:22:00,Classification,Type Assigned,TM-04,Intake Supervisor,,4
EVT-0000074,APL-2026-000009,2026-02-05 08:15:00,Routing,Routed to Team,TM-04,Intake Supervisor,,5
EVT-0000075,APL-2026-000009,2026-02-05 08:52:00,Routing,Routing Error Identified,TM-04,Intake Supervisor,RC-04,6
EVT-0000076,APL-2026-000009,2026-02-06 15:52:00,Routing,Case Reassigned,TM-06,Intake Supervisor,RC-04,7
EVT-0000077,APL-2026-000009,2026-02-09 17:52:00,Review,Review Started,TM-06,Reviewer,,8
EVT-0000078,APL-2026-000009,2026-02-10 08:30:00,Information Request,Information Requested,TM-06,Reviewer,RC-05,9
EVT-0000079,APL-2026-000009,2026-02-11 15:52:00,Review,Rework Started,TM-06,Reviewer,RC-01,10
EVT-0000080,APL-2026-000009,2026-02-27 13:00:00,Information Request,Information Received,TM-06,Reviewer,RC-05,11
EVT-0000081,APL-2026-000009,2026-03-09 14:30:00,Decision,Decision: Upheld,TM-06,Reviewer,,12
EVT-0000082,APL-2026-000009,2026-03-10 08:22:00,Closure,Case Closed,TM-06,Reporting Analyst,,13
EVT-0000083,APL-2026-000010,2026-02-24 11:22:00,Intake,Appeal Received,TM-03,Intake Specialist,,1
EVT-0000084,APL-2026-000010,2026-02-24 12:45:00,Intake,Intake Logged,TM-03,Intake Specialist,,2
EVT-0000085,APL-2026-000010,2026-02-24 08:30:00,Validation,Validation Completed,TM-03,Intake Specialist,,3
EVT-0000086,APL-2026-000010,2026-02-24 09:38:00,Classification,Type Assigned,TM-03,Intake Supervisor,,4
EVT-0000087,APL-2026-000010,2026-02-24 17:30:00,Routing,Routed to Team,TM-03,Intake Supervisor,,5
EVT-0000088,APL-2026-000010,2026-02-24 12:00:00,Review,Review Started,TM-03,Reviewer,,6
EVT-0000089,APL-2026-000010,2026-03-02 12:07:00,Decision,Decision: Upheld,TM-03,Reviewer,,7
EVT-0000090,APL-2026-000010,2026-03-09 13:30:00,Closure,Case Closed,TM-03,Reporting Analyst,,8
EVT-0000091,APL-2026-000011,2026-04-21 15:07:00,Intake,Appeal Received,TM-03,Intake Specialist,,1
EVT-0000092,APL-2026-000011,2026-04-21 08:45:00,Intake,Intake Logged,TM-03,Intake Specialist,,2
EVT-0000093,APL-2026-000011,2026-04-21 14:45:00,Validation,Validation Failed,TM-03,Intake Specialist,RC-02,3
EVT-0000094,APL-2026-000011,2026-04-21 09:38:00,Classification,Type Assigned,TM-03,Intake Supervisor,,4
EVT-0000095,APL-2026-000011,2026-04-21 13:30:00,Routing,Routed to Team,TM-03,Intake Supervisor,,5
EVT-0000096,APL-2026-000011,2026-04-21 17:45:00,Review,Review Started,TM-03,Reviewer,,6
EVT-0000097,APL-2026-000011,2026-04-22 08:00:00,Information Request,Information Requested,TM-03,Reviewer,RC-05,7
EVT-0000098,APL-2026-000011,2026-04-30 10:00:00,Escalation,Escalated,TM-06,Clinical Review Lead,RC-14,8
EVT-0000099,APL-2026-000011,2026-05-01 16:45:00,Information Request,Information Received,TM-03,Reviewer,RC-05,9
EVT-0000100,APL-2026-000011,2026-05-22 08:38:00,Decision,Decision: Partially Overturned,TM-03,Reviewer,,10
EVT-0000101,APL-2026-000011,2026-05-22 09:30:00,Closure,Case Closed,TM-03,Reporting Analyst,,11
EVT-0000102,APL-2026-000012,2026-01-30 12:30:00,Intake,Appeal Received,TM-01,Intake Specialist,,1
EVT-0000103,APL-2026-000012,2026-02-02 13:22:00,Intake,Intake Logged,TM-01,Intake Specialist,,2
EVT-0000104,APL-2026-000012,2026-02-02 08:00:00,Validation,Validation Completed,TM-01,Intake Specialist,,3
EVT-0000105,APL-2026-000012,2026-02-02 17:15:00,Classification,Type Assigned,TM-01,Intake Supervisor,,4
EVT-0000106,APL-2026-000012,2026-02-04 09:38:00,Routing,Routed to Team,TM-01,Intake Supervisor,,5
EVT-0000107,APL-2026-000012,2026-02-05 11:15:00,Review,Review Started,TM-01,Reviewer,,6
EVT-0000108,APL-2026-000012,2026-02-06 16:15:00,Decision,Decision: Upheld,TM-01,Reviewer,,7
EVT-0000109,APL-2026-000012,2026-02-06 12:30:00,Closure,Case Closed,TM-01,Reporting Analyst,,8
EVT-0000110,APL-2026-000013,2026-01-22 17:38:00,Intake,Appeal Received,TM-07,Intake Specialist,,1
EVT-0000111,APL-2026-000013,2026-01-22 09:07:00,Intake,Intake Logged,TM-07,Intake Specialist,,2
EVT-0000112,APL-2026-000013,2026-01-22 08:45:00,Validation,Validation Completed,TM-07,Intake Specialist,,3
EVT-0000113,APL-2026-000013,2026-01-22 11:07:00,Classification,Type Assigned,TM-07,Intake Supervisor,,4
EVT-0000114,APL-2026-000013,2026-01-23 17:22:00,Routing,Routed to Team,TM-07,Intake Supervisor,,5
EVT-0000115,APL-2026-000013,2026-01-27 08:15:00,Review,Review Started,TM-07,Reviewer,,6
EVT-0000116,APL-2026-000013,2026-01-29 09:45:00,Decision,Decision: Partially Overturned,TM-07,Reviewer,,7
EVT-0000117,APL-2026-000013,2026-01-30 08:52:00,Closure,Case Closed,TM-07,Reporting Analyst,,8
EVT-0000118,APL-2026-000014,2026-08-01 17:45:00,Intake,Appeal Received,TM-04,Intake Specialist,,1
EVT-0000119,APL-2026-000014,2026-08-03 14:00:00,Intake,Intake Logged,TM-04,Intake Specialist,,2
EVT-0000120,APL-2026-000014,2026-08-03 09:38:00,Validation,Validation Completed,TM-04,Intake Specialist,,3
EVT-0000121,APL-2026-000014,2026-08-03 16:15:00,Classification,Type Assigned,TM-04,Intake Supervisor,,4
EVT-0000122,APL-2026-000014,2026-08-03 08:22:00,Routing,Routed to Team,TM-04,Intake Supervisor,,5
EVT-0000123,APL-2026-000014,2026-08-04 12:15:00,Review,Review Started,TM-04,Reviewer,,6
EVT-0000124,APL-2026-000014,2026-08-06 08:15:00,Decision,Decision: Overturned,TM-04,Reviewer,,7
EVT-0000125,APL-2026-000014,2026-08-06 09:00:00,Closure,Case Closed,TM-04,Reporting Analyst,,8
EVT-0000126,APL-2026-000015,2026-09-29 16:38:00,Intake,Appeal Received,TM-05,Intake Specialist,,1
EVT-0000127,APL-2026-000015,2026-09-29 10:07:00,Intake,Intake Logged,TM-05,Intake Specialist,,2
EVT-0000128,APL-2026-000015,2026-09-29 11:00:00,Validation,Validation Completed,TM-05,Intake Specialist,,3
EVT-0000129,APL-2026-000015,2026-09-29 11:45:00,Classification,Type Assigned,TM-05,Intake Supervisor,,4
EVT-0000130,APL-2026-000016,2026-07-06 08:38:00,Intake,Appeal Received,TM-02,Intake Specialist,,1
EVT-0000131,APL-2026-000016,2026-07-06 09:45:00,Intake,Intake Logged,TM-02,Intake Specialist,,2
EVT-0000132,APL-2026-000016,2026-07-06 12:45:00,Validation,Validation Failed,TM-02,Intake Specialist,RC-02,3
EVT-0000133,APL-2026-000016,2026-07-06 13:38:00,Classification,Type Assigned,TM-02,Intake Supervisor,,4
EVT-0000134,APL-2026-000016,2026-07-10 14:52:00,Routing,Routed to Team,TM-02,Intake Supervisor,,5
EVT-0000135,APL-2026-000016,2026-07-10 10:07:00,Routing,Routing Error Identified,TM-02,Intake Supervisor,RC-04,6
EVT-0000136,APL-2026-000016,2026-07-10 08:52:00,Review,Review Started,TM-08,Reviewer,,7
EVT-0000137,APL-2026-000016,2026-07-13 13:15:00,Routing,Case Reassigned,TM-08,Intake Supervisor,RC-04,8
EVT-0000138,APL-2026-000016,2026-07-14 09:00:00,Routing,Case Reassigned,TM-08,Intake Supervisor,RC-04,9
EVT-0000139,APL-2026-000016,2026-07-14 08:07:00,Review,Rework Started,TM-08,Reviewer,RC-01,10
EVT-0000140,APL-2026-000016,2026-07-15 17:15:00,Routing,Case Reassigned,TM-08,Intake Supervisor,RC-04,11
EVT-0000141,APL-2026-000016,2026-08-06 14:15:00,Decision,Decision: Overturned,TM-08,Reviewer,,12
EVT-0000142,APL-2026-000016,2026-08-06 15:07:00,Closure,Case Closed,TM-08,Reporting Analyst,,13
EVT-0000143,APL-2026-000017,2026-07-11 08:07:00,Intake,Appeal Received,TM-04,Intake Specialist,,1
EVT-0000144,APL-2026-000017,2026-07-13 11:22:00,Intake,Intake Logged,TM-04,Intake Specialist,,2
EVT-0000145,APL-2026-000017,2026-07-13 14:22:00,Validation,Validation Completed,TM-04,Intake Specialist,,3
EVT-0000146,APL-2026-000017,2026-07-13 10:07:00,Classification,Type Assigned,TM-04,Intake Supervisor,,4
EVT-0000147,APL-2026-000017,2026-07-13 16:52:00,Routing,Routed to Team,TM-04,Intake Supervisor,,5
EVT-0000148,APL-2026-000017,2026-07-13 13:00:00,Review,Review Started,TM-03,Reviewer,,6
EVT-0000149,APL-2026-000017,2026-07-14 12:07:00,Routing,Case Reassigned,TM-03,Intake Supervisor,RC-04,7
EVT-0000150,APL-2026-000017,2026-07-14 08:38:00,Escalation,Escalated,TM-06,Clinical Review Lead,RC-14,8
EVT-0000151,APL-2026-000017,2026-07-23 16:52:00,Decision,Decision: Overturned,TM-03,Reviewer,,9
EVT-0000152,APL-2026-000017,2026-07-24 13:38:00,Closure,Case Closed,TM-03,Reporting Analyst,,10
EVT-0000153,APL-2026-000018,2026-05-29 14:07:00,Intake,Appeal Received,TM-03,Intake Specialist,,1
EVT-0000154,APL-2026-000018,2026-05-29 14:00:00,Intake,Intake Logged,TM-03,Intake Specialist,,2
EVT-0000155,APL-2026-000018,2026-05-29 09:00:00,Validation,Validation Failed,TM-03,Intake Specialist,RC-02,3
EVT-0000156,APL-2026-000018,2026-05-29 17:07:00,Classification,Type Assigned,TM-03,Intake Supervisor,,4
EVT-0000157,APL-2026-000018,2026-05-29 10:52:00,Routing,Routed to Team,TM-03,Intake Supervisor,,5
EVT-0000158,APL-2026-000018,2026-06-01 17:38:00,Review,Review Started,TM-03,Reviewer,,6
EVT-0000159,APL-2026-000018,2026-06-02 12:07:00,Information Request,Information Requested,TM-03,Reviewer,RC-05,7
EVT-0000160,APL-2026-000018,2026-06-03 10:22:00,Review,Rework Started,TM-03,Reviewer,RC-01,8
EVT-0000161,APL-2026-000018,2026-06-08 08:38:00,Information Request,Information Received,TM-03,Reviewer,RC-05,9
EVT-0000162,APL-2026-000018,2026-06-15 14:45:00,Decision,Decision: Upheld,TM-03,Reviewer,,10
EVT-0000163,APL-2026-000018,2026-06-17 12:52:00,Closure,Case Closed,TM-03,Reporting Analyst,,11
EVT-0000164,APL-2026-000019,2026-07-17 10:30:00,Intake,Appeal Received,TM-05,Intake Specialist,,1
EVT-0000165,APL-2026-000019,2026-07-17 15:45:00,Intake,Intake Logged,TM-05,Intake Specialist,,2
EVT-0000166,APL-2026-000019,2026-07-17 11:07:00,Validation,Validation Completed,TM-05,Intake Specialist,,3
EVT-0000167,APL-2026-000019,2026-07-17 17:00:00,Classification,Type Assigned,TM-05,Intake Supervisor,,4
EVT-0000168,APL-2026-000019,2026-07-22 13:52:00,Routing,Routed to Team,TM-05,Intake Supervisor,,5
EVT-0000169,APL-2026-000019,2026-07-22 11:30:00,Routing,Routing Error Identified,TM-05,Intake Supervisor,RC-04,6
EVT-0000170,APL-2026-000019,2026-07-23 17:22:00,Routing,Case Reassigned,TM-08,Intake Supervisor,RC-04,7
EVT-0000171,APL-2026-000019,2026-07-24 08:38:00,Review,Review Started,TM-08,Reviewer,,8
EVT-0000172,APL-2026-000019,2026-07-28 10:52:00,Review,Rework Started,TM-08,Reviewer,RC-01,9
EVT-0000173,APL-2026-000019,2026-08-04 08:52:00,Decision,Decision: Overturned,TM-08,Reviewer,,10
EVT-0000174,APL-2026-000019,2026-08-06 15:00:00,Closure,Case Closed,TM-08,Reporting Analyst,,11
EVT-0000175,APL-2026-000020,2026-08-28 14:30:00,Intake,Appeal Received,TM-07,Intake Specialist,,1
EVT-0000176,APL-2026-000020,2026-08-28 14:30:00,Intake,Intake Logged,TM-07,Intake Specialist,,2
EVT-0000177,APL-2026-000020,2026-08-28 12:07:00,Validation,Validation Failed,TM-07,Intake Specialist,RC-02,3
EVT-0000178,APL-2026-000020,2026-08-28 16:38:00,Classification,Type Assigned,TM-07,Intake Supervisor,,4
EVT-0000179,APL-2026-000020,2026-08-28 17:22:00,Routing,Routed to Team,TM-07,Intake Supervisor,,5
EVT-0000180,APL-2026-000020,2026-09-02 15:00:00,Review,Review Started,TM-07,Reviewer,,6
EVT-0000181,APL-2026-000020,2026-09-03 12:52:00,Information Request,Information Requested,TM-07,Reviewer,RC-05,7
EVT-0000182,APL-2026-000020,2026-09-08 15:22:00,Information Request,Information Received,TM-07,Reviewer,RC-05,8
EVT-0000183,APL-2026-000020,2026-09-14 08:30:00,Decision,Decision: Overturned,TM-07,Reviewer,,9
EVT-0000184,APL-2026-000020,2026-09-15 13:38:00,Closure,Case Closed,TM-07,Reporting Analyst,,10
EVT-0000185,APL-2026-000021,2026-05-24 13:07:00,Intake,Appeal Received,TM-03,Intake Specialist,,1
EVT-0000186,APL-2026-000021,2026-05-26 11:38:00,Intake,Intake Logged,TM-03,Intake Specialist,,2
EVT-0000187,APL-2026-000021,2026-05-26 16:52:00,Validation,Validation Failed,TM-03,Intake Specialist,RC-02,3
EVT-0000188,APL-2026-000021,2026-05-26 15:07:00,Classification,Type Assigned,TM-03,Intake Supervisor,,4
EVT-0000189,APL-2026-000021,2026-05-27 10:00:00,Routing,Routed to Team,TM-03,Intake Supervisor,,5
EVT-0000190,APL-2026-000021,2026-05-27 11:30:00,Review,Review Started,TM-03,Reviewer,,6
EVT-0000191,APL-2026-000021,2026-05-28 08:00:00,Escalation,Escalated,TM-06,Clinical Review Lead,RC-14,7
EVT-0000192,APL-2026-000021,2026-06-03 11:45:00,Decision,Decision: Partially Overturned,TM-03,Reviewer,,8
EVT-0000193,APL-2026-000021,2026-06-03 12:45:00,Closure,Case Closed,TM-03,Reporting Analyst,,9
EVT-0000194,APL-2026-000022,2026-07-29 13:00:00,Intake,Appeal Received,TM-05,Intake Specialist,,1
EVT-0000195,APL-2026-000022,2026-07-30 17:30:00,Intake,Intake Logged,TM-05,Intake Specialist,,2
EVT-0000196,APL-2026-000022,2026-07-30 11:30:00,Validation,Validation Failed,TM-05,Intake Specialist,RC-02,3
EVT-0000197,APL-2026-000022,2026-07-30 12:22:00,Classification,Type Assigned,TM-05,Intake Supervisor,,4
EVT-0000198,APL-2026-000022,2026-08-05 11:38:00,Routing,Routed to Team,TM-05,Intake Supervisor,,5
EVT-0000199,APL-2026-000022,2026-08-05 11:07:00,Routing,Routing Error Identified,TM-05,Intake Supervisor,RC-04,6
EVT-0000200,APL-2026-000022,2026-08-06 15:22:00,Routing,Case Reassigned,TM-07,Intake Supervisor,RC-04,7
EVT-0000201,APL-2026-000022,2026-08-07 15:52:00,Routing,Case Reassigned,TM-07,Intake Supervisor,RC-04,8
EVT-0000202,APL-2026-000022,2026-08-07 11:30:00,Review,Review Started,TM-07,Reviewer,,9
EVT-0000203,APL-2026-000022,2026-08-10 11:07:00,Routing,Case Reassigned,TM-07,Intake Supervisor,RC-04,10
EVT-0000204,APL-2026-000022,2026-08-10 13:30:00,Escalation,Escalated,TM-06,Clinical Review Lead,RC-14,11
EVT-0000205,APL-2026-000022,2026-08-20 10:15:00,Decision,Decision: Upheld,TM-07,Reviewer,,12
EVT-0000206,APL-2026-000022,2026-08-21 17:22:00,Closure,Case Closed,TM-07,Reporting Analyst,,13
EVT-0000207,APL-2026-000023,2026-04-11 11:00:00,Intake,Appeal Received,TM-01,Intake Specialist,,1
EVT-0000208,APL-2026-000023,2026-04-11 15:30:00,Intake,Intake Logged,TM-01,Intake Specialist,,2
EVT-0000209,APL-2026-000023,2026-04-11 15:52:00,Validation,Validation Completed,TM-01,Intake Specialist,,3
EVT-0000210,APL-2026-000023,2026-04-11 16:52:00,Classification,Type Assigned,TM-01,Intake Supervisor,,4
EVT-0000211,APL-2026-000023,2026-04-13 08:07:00,Routing,Routed to Team,TM-01,Intake Supervisor,,5
EVT-0000212,APL-2026-000023,2026-04-14 11:38:00,Review,Review Started,TM-01,Reviewer,,6
EVT-0000213,APL-2026-000023,2026-05-08 09:52:00,Decision,Decision: Partially Overturned,TM-01,Reviewer,,7
EVT-0000214,APL-2026-000023,2026-05-08 11:15:00,Closure,Case Closed,TM-01,Reporting Analyst,,8
EVT-0000215,APL-2026-000024,2026-04-15 13:15:00,Intake,Appeal Received,TM-05,Intake Specialist,,1
EVT-0000216,APL-2026-000024,2026-04-16 08:30:00,Intake,Intake Logged,TM-05,Intake Specialist,,2
EVT-0000217,APL-2026-000024,2026-04-16 11:45:00,Validation,Validation Completed,TM-05,Intake Specialist,,3
EVT-0000218,APL-2026-000024,2026-04-16 14:30:00,Classification,Type Assigned,TM-05,Intake Supervisor,,4
EVT-0000219,APL-2026-000024,2026-04-22 09:15:00,Routing,Routed to Team,TM-05,Intake Supervisor,,5
EVT-0000220,APL-2026-000024,2026-04-27 15:38:00,Review,Review Started,TM-05,Reviewer,,6
EVT-0000221,APL-2026-000024,2026-04-29 15:07:00,Decision,Decision: Partially Overturned,TM-05,Reviewer,,7
EVT-0000222,APL-2026-000024,2026-05-01 13:30:00,Closure,Case Closed,TM-05,Reporting Analyst,,8
EVT-0000223,APL-2026-000025,2026-04-03 13:22:00,Intake,Appeal Received,TM-07,Intake Specialist,,1
EVT-0000224,APL-2026-000025,2026-04-06 13:22:00,Intake,Intake Logged,TM-07,Intake Specialist,,2
EVT-0000225,APL-2026-000025,2026-04-06 13:52:00,Validation,Validation Completed,TM-07,Intake Specialist,,3
EVT-0000226,APL-2026-000025,2026-04-06 13:22:00,Classification,Type Assigned,TM-07,Intake Supervisor,,4
EVT-0000227,APL-2026-000025,2026-04-07 08:52:00,Routing,Routed to Team,TM-07,Intake Supervisor,,5
EVT-0000228,APL-2026-000025,2026-04-10 15:07:00,Review,Review Started,TM-07,Reviewer,,6
EVT-0000229,APL-2026-000025,2026-04-15 09:45:00,Decision,Decision: Upheld,TM-07,Reviewer,,7
EVT-0000230,APL-2026-000025,2026-04-15 17:38:00,Closure,Case Closed,TM-07,Reporting Analyst,,8
EVT-0000231,APL-2026-000026,2026-03-13 10:15:00,Intake,Appeal Received,TM-07,Intake Specialist,,1
EVT-0000232,APL-2026-000026,2026-03-13 12:00:00,Intake,Intake Logged,TM-07,Intake Specialist,,2
EVT-0000233,APL-2026-000026,2026-03-13 12:30:00,Validation,Validation Completed,TM-07,Intake Specialist,,3
EVT-0000234,APL-2026-000026,2026-03-13 08:15:00,Classification,Type Assigned,TM-07,Intake Supervisor,,4
EVT-0000235,APL-2026-000026,2026-03-13 17:45:00,Routing,Routed to Team,TM-07,Intake Supervisor,,5
EVT-0000236,APL-2026-000026,2026-03-13 11:52:00,Review,Review Started,TM-07,Reviewer,,6
EVT-0000237,APL-2026-000026,2026-03-24 08:22:00,Decision,Decision: Upheld,TM-07,Reviewer,,7
EVT-0000238,APL-2026-000026,2026-03-26 13:38:00,Closure,Case Closed,TM-07,Reporting Analyst,,8
EVT-0000239,APL-2026-000027,2026-02-01 09:30:00,Intake,Appeal Received,TM-07,Intake Specialist,,1
EVT-0000240,APL-2026-000027,2026-02-03 15:45:00,Intake,Intake Logged,TM-07,Intake Specialist,,2
EVT-0000241,APL-2026-000027,2026-02-03 14:52:00,Validation,Validation Completed,TM-07,Intake Specialist,,3
